country,club,city,year,trainer,points
Россия,Зенит,Санкт-Петербург,2017,Семак Сергей Богданович,37
Англия,Манчестер Сити,Манчестер,2002,Пеп Гвардиола,62
Германия,Бавария,Мюнхен,2015,Венсан Компани,45
Италия,Интер,Милан,2019, Симоне Индзаги,8
Германия,Бавария,Мюнхен,2016,Венсан Компани,64
Италия,Милан,Милан,2020,Сержиу Консейсан,89
Англия,Челси,Лондон,2010,Энцо Мареска,87
Англия,Арсенал,Лондон,2011,Микель Артета,85
Англия,Арсенал,Лондон,2024,Микель Артета,89
Италия,Интер,Милан,2002, Симоне Индзаги,25
Испания,Атлетико,Мадрид,2011,Диего Симеоне,85
Англия,Челси,Лондон,2014,Энцо Мареска,70
Испания,Атлетико,Мадрид,2018,Диего Симеоне,88
Италия,Интер,Милан,2009, Симоне Индзаги,63
Англия,Манчестер Сити,Манчестер,2017,Пеп Гвардиола,6
Испания,Реал Мадрид,Мадрид,2021,Карло Анчелотти,32
Италия,Интер,Милан,2000, Симоне Индзаги,6
Англия,Арсенал,Лондон,2025,Микель Артета,81
Англия,Арсенал,Лондон,2022,Микель Артета,78
Россия,Зенит,Санкт-Петербург,2022,Семак Сергей Богданович,87
Испания,Барселона,Барселона,2014,Ханс‑Дитер Флик,68
Италия,Интер,Милан,2014, Симоне Индзаги,89
Испания,Реал Мадрид,Мадрид,2007,Карло Анчелотти,37
Россия,Спартак,Москва,2019,Деян Станкович,41
Италия,Интер,Милан,2008, Симоне Индзаги,53
Италия,Интер,Милан,2010, Симоне Индзаги,3
Англия,Челси,Лондон,2012,Энцо Мареска,44
Испания,Атлетико,Мадрид,2014,Диего Симеоне,10
Италия,Ювентус,Турин,2009,Игор Тудор,66
Германия,Лейпциг,Лейпциг,2009,Жолт Лев,56
Германия,Лейпциг,Лейпциг,2010,Жолт Лев,18
Германия,Лейпциг,Лейпциг,2019,Жолт Лев,36
Испания,Атлетико,Мадрид,2011,Диего Симеоне,8
Германия,Лейпциг,Лейпциг,2021,Жолт Лев,77
Испания,Атлетико,Мадрид,2008,Диего Симеоне,66
Италия,Милан,Милан,2025,Сержиу Консейсан,92
Германия,Боруссия,Дортмунд,2015,Нико Ковач,50
Германия,Бавария,Мюнхен,2000,Венсан Компани,86
Германия,Лейпциг,Лейпциг,2014,Жолт Лев,70
Испания,Барселона,Барселона,2024,Ханс‑Дитер Флик,34
Германия,Лейпциг,Лейпциг,2011,Жолт Лев,39
Англия,Челси,Лондон,2012,Энцо Мареска,34
Испания,Атлетико,Мадрид,2013,Диего Симеоне,37
Германия,Боруссия,Дортмунд,2014,Нико Ковач,66
Россия,ЦСКА,Москва,2017,Марко Николич,34
Россия,Спартак,Москва,2005,Деян Станкович,31
Италия,Милан,Милан,2024,Сержиу Консейсан,12
Англия,Челси,Лондон,2021,Энцо Мареска,61
